mmsi,timestamp,lat,lon,sog,cog,heading,nav_status,restricted_area_flag,label,anomaly_type
100000001,2025-10-02T08:00:00Z,42.751764,5.213454,13.169,216.57,219.2,under_way,0,0,normal
100000001,2025-10-02T08:01:00Z,42.748658,5.210544,12.771,212.8,215.59,under_way,0,0,normal
100000001,2025-10-02T08:02:00Z,42.745866,5.207642,12.676,216.1,208.95,under_way,0,0,normal
100000001,2025-10-02T08:03:00Z,42.743077,5.204512,13.126,212.5,219.68,under_way,0,0,normal
100000001,2025-10-02T08:04:00Z,42.740367,5.202274,12.597,212.57,209.74,under_way,0,0,normal
100000001,2025-10-02T08:05:00Z,42.737319,5.199148,12.599,211.86,213.37,under_way,0,0,normal
100000001,2025-10-02T08:06:00Z,42.734055,5.196933,12.693,215.55,214.63,under_way,0,0,normal
100000001,2025-10-02T08:07:00Z,42.731604,5.19488,12.564,214.27,208.6,under_way,0,0,normal
100000001,2025-10-02T08:08:00Z,42.728439,5.19238,11.83,214.38,216.69,under_way,0,0,normal
100000001,2025-10-02T08:09:00Z,42.725488,5.189457,12.81,212.08,204.43,under_way,0,0,normal
100000001,2025-10-02T08:10:00Z,42.722553,5.186884,12.39,215.85,212.69,under_way,0,0,normal
100000001,2025-10-02T08:11:00Z,42.719954,5.184231,12.317,213.21,205.41,under_way,0,0,normal
100000001,2025-10-02T08:12:00Z,42.716972,5.181737,12.725,213.54,210.33,under_way,0,0,normal
100000001,2025-10-02T08:13:00Z,42.714123,5.179978,12.194,211.46,209.77,under_way,0,0,normal
100000001,2025-10-02T08:14:00Z,42.711511,5.176531,12.417,209.77,214.72,under_way,0,0,normal
100000001,2025-10-02T08:15:00Z,42.708357,5.174234,12.007,211.23,206.28,under_way,0,0,normal
100000001,2025-10-02T08:16:00Z,42.705095,5.171934,12.67,207.79,214.11,under_way,0,0,normal
100000001,2025-10-02T08:17:00Z,42.702307,5.170014,12.353,205.7,208.67,under_way,0,0,normal
100000001,2025-10-02T08:18:00Z,42.698921,5.167568,12.78,207.09,212.14,under_way,0,0,normal
100000001,2025-10-02T08:19:00Z,42.695671,5.165548,13.068,205.47,209.84,under_way,0,0,normal
100000001,2025-10-02T08:20:00Z,42.692741,5.162814,12.617,206.46,212.47,under_way,0,0,normal
100000001,2025-10-02T08:21:00Z,42.689666,5.161171,12.825,213.16,211.0,under_way,0,0,normal
100000001,2025-10-02T08:22:00Z,42.686438,5.158763,12.881,206.85,205.73,under_way,0,0,normal
100000001,2025-10-02T08:23:00Z,42.683454,5.156067,12.578,207.13,206.24,under_way,0,0,normal
100000001,2025-10-02T08:24:00Z,42.680377,5.154493,12.829,208.41,199.33,under_way,0,0,normal
100000001,2025-10-02T08:25:00Z,42.677357,5.153342,12.56,209.17,209.58,under_way,0,0,normal
100000001,2025-10-02T08:26:00Z,42.673868,5.149989,12.394,206.9,212.66,under_way,0,0,normal
100000001,2025-10-02T08:27:00Z,42.670948,5.148248,12.251,205.63,200.31,under_way,0,0,normal
100000001,2025-10-02T08:28:00Z,42.668043,5.145633,12.873,207.84,202.3,under_way,0,0,normal
100000001,2025-10-02T08:29:00Z,42.664704,5.143755,12.491,207.46,205.06,under_way,0,0,normal
100000001,2025-10-02T08:30:00Z,42.662382,5.141922,12.0,206.99,206.62,under_way,0,0,normal
100000001,2025-10-02T08:31:00Z,42.659058,5.13971,12.581,204.9,199.2,under_way,0,0,normal
100000001,2025-10-02T08:32:00Z,42.655344,5.137969,12.869,197.05,194.67,under_way,0,0,normal
100000001,2025-10-02T08:33:00Z,42.652542,5.136631,12.235,202.18,196.44,under_way,0,0,normal
100000001,2025-10-02T08:34:00Z,42.649026,5.135118,12.787,199.21,203.54,under_way,0,0,normal
100000001,2025-10-02T08:35:00Z,42.645946,5.133078,12.046,200.36,200.84,under_way,0,0,normal
100000001,2025-10-02T08:36:00Z,42.642978,5.131653,12.428,202.81,196.94,under_way,0,0,normal
100000001,2025-10-02T08:37:00Z,42.63959,5.129837,12.46,201.51,204.5,under_way,0,0,normal
100000001,2025-10-02T08:38:00Z,42.636734,5.12831,12.437,202.35,205.98,under_way,0,0,normal
100000001,2025-10-02T08:39:00Z,42.633426,5.126488,11.86,206.47,199.3,under_way,0,0,normal
100000001,2025-10-02T08:40:00Z,42.636254,5.124142,10.97,329.33,204.12,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:41:00Z,42.638617,5.122009,9.974,329.63,326.03,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:42:00Z,42.640068,5.120343,8.326,329.75,331.27,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:43:00Z,42.642155,5.119117,7.088,327.7,328.98,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:44:00Z,42.64361,5.117999,6.585,329.36,327.71,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:45:00Z,42.645822,5.116528,6.283,329.51,337.51,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:46:00Z,42.645944,5.11578,3.92,329.8,329.13,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:47:00Z,42.646485,5.115925,3.565,328.34,321.37,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:48:00Z,42.647416,5.114797,3.012,328.37,333.0,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:49:00Z,42.648525,5.113878,2.616,331.48,329.04,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:50:00Z,42.649047,5.114254,3.439,328.73,332.33,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:51:00Z,42.650059,5.112528,2.704,325.51,326.39,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:52:00Z,42.650043,5.111964,2.986,329.87,330.14,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:53:00Z,42.651282,5.111613,2.872,327.27,324.03,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:54:00Z,42.651649,5.111283,2.741,328.18,326.11,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:55:00Z,42.652569,5.110669,3.154,330.54,325.06,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:56:00Z,42.653728,5.110648,2.938,330.22,321.57,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:57:00Z,42.653551,5.109636,2.811,326.62,327.84,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:58:00Z,42.655192,5.109018,2.785,331.92,333.93,under_way,0,1,restricted_intrusion
100000001,2025-10-02T08:59:00Z,42.655741,5.108987,2.65,330.19,324.02,under_way,0,1,restricted_intrusion
100000001,2025-10-02T09:00:00Z,42.655929,5.107915,2.987,328.75,323.06,under_way,0,1,restricted_intrusion
100000001,2025-10-02T09:01:00Z,42.656923,5.107479,2.583,330.15,329.26,under_way,0,1,restricted_intrusion
100000001,2025-10-02T09:02:00Z,42.657623,5.106752,2.774,330.33,318.52,under_way,0,1,restricted_intrusion
100000001,2025-10-02T09:03:00Z,42.658065,5.105978,3.252,328.14,326.44,under_way,0,1,restricted_intrusion
100000001,2025-10-02T09:04:00Z,42.6588,5.105686,2.949,329.84,331.93,under_way,0,1,restricted_intrusion
100000001,2025-10-02T09:05:00Z,42.659855,5.104809,2.878,328.4,332.28,under_way,0,1,restricted_intrusion
100000001,2025-10-02T09:06:00Z,42.660371,5.104713,2.898,325.51,332.73,under_way,0,1,restricted_intrusion
100000001,2025-10-02T09:07:00Z,42.661282,5.103707,3.207,325.19,328.28,under_way,0,1,restricted_intrusion
100000001,2025-10-02T09:08:00Z,42.661775,5.103382,3.568,329.5,330.33,under_way,0,1,restricted_intrusion
100000001,2025-10-02T09:09:00Z,42.662636,5.102468,3.12,329.77,331.72,under_way,0,1,restricted_intrusion
100000001,2025-10-02T09:10:00Z,42.663443,5.102258,2.769,330.74,327.62,under_way,0,1,restricted_intrusion
100000001,2025-10-02T09:11:00Z,42.663702,5.100945,3.436,332.6,327.99,under_way,0,0,normal
100000001,2025-10-02T09:12:00Z,42.664861,5.100927,3.285,330.94,336.86,under_way,0,0,normal
100000001,2025-10-02T09:13:00Z,42.665949,5.100819,2.858,328.86,335.03,under_way,0,0,normal
100000001,2025-10-02T09:14:00Z,42.666737,5.099762,2.887,330.13,322.57,under_way,0,0,normal
100000001,2025-10-02T09:15:00Z,42.666654,5.099157,3.535,331.57,324.16,under_way,0,0,normal
100000001,2025-10-02T09:16:00Z,42.667779,5.098638,3.254,335.04,324.88,under_way,0,0,normal
100000001,2025-10-02T09:17:00Z,42.668547,5.098144,3.034,330.74,336.82,under_way,0,0,normal
100000001,2025-10-02T09:18:00Z,42.669074,5.097364,2.981,329.27,331.64,under_way,0,0,normal
100000001,2025-10-02T09:19:00Z,42.669236,5.097008,2.464,328.51,332.22,under_way,0,0,normal
100000001,2025-10-02T09:20:00Z,42.670832,5.096919,2.108,332.2,335.93,under_way,0,0,normal
100000001,2025-10-02T09:21:00Z,42.670888,5.096551,2.318,333.35,334.6,under_way,0,0,normal
100000001,2025-10-02T09:22:00Z,42.671421,5.096106,1.732,336.4,335.15,under_way,0,0,normal
